skills_verified_count,years_experience,age,commute_time_minutes,shift_preference,salary_expectation,has_certifications,education_level,previous_turnovers,family_status,housing_type,has_transport,retention
1,12.2,57,98,0,111058,0,1,2,2,0,1,0
10,20.8,58,72,1,46113,0,1,0,3,1,0,0
7,11.5,46,59,2,68900,0,2,0,3,0,1,1
4,18.5,45,104,1,41213,0,0,4,0,1,0,0
1,2.7,31,178,2,60220,1,2,4,0,1,1,0
9,11.2,41,124,1,37295,0,2,2,2,1,1,0
7,26.5,53,69,1,89942,0,2,2,1,0,0,0
4,21.5,52,111,2,127294,0,1,0,0,3,0,1
0,10.1,48,104,1,106396,0,0,4,3,0,0,0
3,0.8,21,23,1,32765,1,0,1,0,1,0,1
0,0.0,20,28,1,98371,0,1,1,0,1,0,0
2,3.4,28,144,1,130234,0,3,1,2,0,0,0
9,10.0,48,155,0,149207,0,0,1,0,1,1,1
10,14.4,45,51,2,116021,0,2,0,2,3,1,1
0,20.8,54,83,0,66136,0,2,1,1,1,1,0
3,10.2,49,16,2,81449,0,0,1,0,1,0,0
3,15.2,40,58,1,85991,0,1,0,1,1,1,1
9,17.7,47,70,1,145997,0,3,3,1,0,1,1
6,10.3,41,117,2,83276,0,1,3,0,1,0,0
3,3.1,33,119,1,85840,1,1,0,2,1,1,0
1,24.5,56,94,1,51165,0,0,0,2,1,1,0
1,9.9,43,102,0,74664,0,0,0,2,3,1,0
0,0.5,23,85,2,122117,1,1,3,0,3,0,0
3,0.0,22,61,2,37202,0,3,2,0,0,1,0
10,9.0,49,81,1,113364,0,0,0,1,3,1,1
8,1.9,43,38,1,65220,0,0,5,0,0,1,0
0,7.7,38,131,0,125265,0,2,1,2,1,1,0
2,10.6,39,40,0,32790,1,1,5,0,2,1,0
4,14.0,52,121,1,134931,1,1,1,0,1,0,0
3,0.6,23,109,2,129500,0,2,2,2,1,0,0
3,11.0,39,79,1,93349,0,1,1,2,1,1,1
2,10.6,40,95,1,47404,0,0,1,3,1,0,0
10,6.2,46,16,2,49265,0,2,3,0,3,0,1
4,4.1,44,76,1,91072,0,1,5,2,2,0,0
1,3.2,39,25,0,114487,0,2,0,0,3,0,0
0,15.3,44,162,1,130250,0,2,1,0,3,1,0
5,4.5,46,59,0,38949,0,1,2,2,1,0,1
2,5.0,29,121,0,52138,1,1,1,0,1,1,0
9,12.9,41,158,0,33038,0,2,4,0,2,1,0
8,31.0,54,159,2,97603,0,1,3,1,0,1,0
8,12.4,53,117,2,106663,1,2,0,0,1,0,0
9,13.3,37,97,0,99020,0,1,2,0,1,1,1
2,26.4,60,30,1,80632,1,3,1,0,0,1,0
7,15.2,43,102,2,58544,0,1,0,3,0,0,1
7,21.5,54,126,2,101006,0,1,2,2,1,0,0
1,2.4,56,39,1,98878,0,1,1,2,1,0,0
9,22.9,50,96,2,136225,0,1,0,0,1,0,1
10,20.3,54,94,2,63088,0,0,2,1,0,0,0
3,14.7,50,64,1,57634,0,3,4,3,0,1,0
9,7.5,42,81,1,35697,0,1,0,0,3,0,0
5,7.9,32,55,1,64207,0,2,1,0,0,1,1
1,8.6,39,169,1,65171,1,0,1,1,3,0,0
6,1.8,32,88,1,37758,0,2,0,1,2,1,1
10,2.6,24,125,2,96102,1,1,0,2,2,1,0
9,1.5,31,81,2,119799,0,1,2,3,1,0,0
7,5.0,26,134,2,37681,1,1,0,1,0,1,1
1,1.5,31,43,1,43508,0,1,2,2,1,0,0
8,4.5,27,165,0,41078,0,2,4,3,2,0,0
8,16.1,51,79,0,98006,0,2,2,0,1,0,0
4,16.2,49,51,0,75440,0,1,0,2,1,0,1
6,12.2,37,74,2,143039,0,2,2,2,1,0,0
7,7.1,39,58,0,111078,0,2,2,2,1,0,1
2,9.4,57,129,1,56053,0,2,4,3,1,1,0
6,21.7,42,137,0,34470,0,1,2,0,1,0,1
2,13.7,53,159,2,101224,1,0,1,1,1,0,0
8,12.3,60,33,0,125850,0,2,1,1,0,0,0
4,6.2,38,158,1,133428,0,1,2,2,2,1,0
10,10.2,35,167,1,37268,0,2,2,1,2,1,0
3,2.7,45,24,2,77710,1,0,0,1,0,0,0
0,1.2,27,98,0,88997,0,1,5,0,1,1,0
0,11.7,38,102,1,122253,1,0,3,1,2,0,0
3,7.0,33,167,1,77087,0,0,2,0,1,1,0
10,1.9,27,180,1,122499,0,3,0,2,0,0,0
2,22.3,58,123,0,41233,1,1,0,0,2,0,0
6,15.5,50,99,2,133693,0,0,3,2,2,1,0
1,15.1,42,43,1,65119,1,3,1,2,1,1,0
10,7.3,26,64,2,141532,0,3,1,3,1,1,0
3,6.7,30,42,1,91175,1,0,1,3,1,1,0
5,7.7,44,87,0,114111,0,0,1,1,1,0,0
3,7.9,41,148,1,61220,0,1,3,2,0,0,0
0,16.7,42,20,0,116029,1,0,0,1,1,1,1
8,13.5,35,103,0,112203,0,1,0,0,3,1,0
9,13.9,40,110,2,43908,0,1,2,0,2,1,0
9,7.5,33,123,2,103088,0,1,1,2,2,0,0
2,0.8,21,122,2,61072,0,1,2,0,1,1,0
10,12.6,47,43,1,92349,0,1,0,0,1,0,1
10,3.1,28,30,0,120770,0,0,2,2,0,0,1
0,7.6,36,22,0,107235,0,2,0,0,0,1,1
10,21.6,58,28,0,104640,0,3,0,2,3,0,1
3,22.0,54,163,1,93933,0,2,3,2,1,1,0
0,2.5,36,28,0,66843,0,1,0,0,0,0,1
5,27.1,50,154,0,76839,0,3,0,0,0,1,0
5,26.7,58,147,0,38581,0,3,3,2,0,0,0
3,19.8,53,105,2,144924,1,1,0,3,1,1,1
2,9.6,37,18,0,85662,0,1,3,2,1,1,1
6,15.1,42,108,2,55838,0,3,1,2,1,0,0
7,10.0,45,105,0,34466,0,0,1,0,1,0,0
9,15.6,45,177,1,121399,1,1,1,2,1,1,1
6,0.3,22,117,1,139710,0,3,1,2,1,0,0
2,20.2,56,105,1,80460,0,1,3,0,2,0,0
6,22.3,56,39,2,33300,0,0,3,2,1,1,1
6,2.8,23,111,2,79702,0,2,1,1,1,1,1
8,2.2,25,174,1,148571,0,0,0,0,1,0,0
7,0.0,20,137,0,145236,0,2,0,0,0,1,0
1,2.1,26,140,0,148805,1,2,1,2,1,0,0
7,1.1,25,90,2,120764,0,1,3,2,0,0,0
2,19.2,48,130,1,53715,1,3,0,0,0,1,0
10,14.0,40,147,2,105048,0,1,1,2,3,1,1
3,24.1,58,104,2,123175,0,1,1,2,1,1,0
5,0.8,23,20,0,41276,1,3,3,1,1,0,1
4,30.4,59,130,2,87997,1,2,1,3,1,0,0
0,2.0,37,62,2,32718,0,3,2,2,0,0,0
2,10.3,40,101,0,61342,0,0,3,0,3,0,0
9,2.4,25,74,1,90500,1,0,5,1,1,1,0
6,18.7,45,82,0,89867,0,0,3,2,1,0,0
3,0.5,23,60,1,104055,0,1,1,2,1,1,0
0,9.9,37,15,1,51891,1,1,4,2,1,1,0
10,6.8,31,82,2,115103,1,2,1,1,1,0,1
10,7.9,32,87,0,75630,0,1,0,2,1,1,0
6,2.0,23,14,1,49645,0,0,1,0,1,0,0
9,12.1,54,168,2,142589,0,2,3,0,1,1,0
8,3.3,39,176,2,66421,0,2,0,2,1,0,0
4,5.3,35,155,1,72620,1,2,0,0,0,1,1
5,9.4,42,108,2,56059,1,2,2,3,0,0,0
2,20.6,56,57,0,143767,0,2,2,3,1,0,0
4,14.6,42,106,2,66477,0,2,1,0,1,0,0
2,0.0,20,151,1,86773,1,1,0,2,0,0,0
1,4.1,31,56,2,120951,1,0,1,3,1,1,1
4,23.8,57,93,0,59784,0,0,1,1,1,1,0
1,15.6,43,62,0,68479,1,2,4,1,1,0,0
6,1.9,25,158,0,82106,0,1,1,3,1,1,1
7,13.1,60,168,0,104369,1,3,1,1,1,0,0
3,18.1,52,90,0,65845,0,0,1,1,0,1,1
1,27.4,60,11,1,110879,0,1,2,2,0,1,0
2,6.9,40,80,0,113172,0,1,2,2,1,1,0
6,24.5,57,159,0,113871,0,1,1,2,1,0,0
4,15.0,39,35,0,88115,0,1,1,0,0,1,1
6,20.6,54,169,2,116641,0,1,1,2,1,0,1
5,2.7,25,86,0,110088,0,2,0,3,1,0,0
1,0.6,26,109,0,72674,1,0,1,1,1,1,0
3,2.1,26,149,1,127068,0,3,1,1,1,1,0
10,16.6,57,69,2,34670,0,1,1,1,0,1,1
7,10.5,49,155,1,95669,0,0,0,0,0,0,0
4,13.7,52,149,1,91863,1,0,4,0,3,1,0
2,22.0,54,165,1,75406,1,1,0,2,0,0,0
